timestep,P_norm,Q_norm
0.08333333333333333,0.016932429412331206,0.009857843460539759
0.16666666666666666,0.016932429412331206,0.009282331392780813
0.25,0.016932429412331206,0.008983608863673546
0.3333333333333333,0.016932429412331206,0.008961675873217962
0.41666666666666663,0.016932429412331206,0.0092165235308626
0.5,0.016932429412331206,0.009670519541245412
0.5833333333333333,0.016932429412331206,0.009857843460539759
0.6666666666666666,0.01693242416294213,0.009700854102832137
0.75,0.01693241891355305,0.009267075206472835
0.8333333333333333,0.016932429412331206,0.008961675873217962
