secs,nsecs,offset,sequence,P_norm,Q_norm
0,83333333,0.0,0,0.14325068870523416,0.18484288354898337
0,166666666,0.0,1,0.1487603305785124,0.18484288354898337
0,250000000,0.0,2,0.15151515151515152,0.18484288354898337
0,333333333,0.0,3,0.15426997245179064,0.18484288354898337
0,416666666,0.0,4,0.15702479338842976,0.18484288354898337
0,500000000,0.0,5,0.15426997245179064,0.18484288354898337
0,583333333,0.0,6,0.15426997245179064,0.18484288354898337
0,666666666,0.0,7,0.15426997245179064,0.18484288354898337
0,750000000,0.0,8,0.15151515151515152,0.18484288354898337
0,833333333,0.0,9,0.15426997245179064,0.18484288354898337
