secs,nsecs,offset,sequence,P_norm,Q_norm
0,83333333,0.0,0,0.40597693114295696,0.08421052631578946
0,166666666,0.0,1,0.4023068857042991,0.07982456140350877
0,250000000,0.0,2,0.40125830129325407,0.07543859649122807
0,333333333,0.0,3,0.4026564138413142,0.07105263157894737
0,416666666,0.0,4,0.406675987416987,0.06491228070175438
0,500000000,0.0,5,0.41261796574624254,0.059649122807017535
0,583333333,0.0,6,0.41890947221251307,0.05350877192982456
0,666666666,0.0,7,0.4252009786787836,0.04736842105263158
0,750000000,0.0,8,0.4306186648025166,0.04298245614035087
0,833333333,0.0,9,0.43096819293953165,0.04649122807017544
